team,round,Q,answer,correct
Quaranteam 2020,2,6,J Crew,Y
Weens <();:::::::::::::::;~,2,6,Forever 21,
Zack and Hyejin,2,6,J Crew,Y
"5,000 Candles in the Wind",2,7,USC,Y
Bébé Yoda,2,7,Usc,Y
Blue Taran-dactyls,2,7,USC ,Y
Days of Auld Lang-xiety,2,7,USC,Y
Diminishing Returns,2,7,USC,Y
Losing 21 in 2021,2,7,stanford,
Mile High Owls,2,7,USC,Y
Netflix & Quill,2,7,USC,Y
Quaranteam 2020,2,7,USC,Y
Weens <();:::::::::::::::;~,2,7,USC (university of Southern California),Y
Zack and Hyejin,2,7,USC ,Y
"5,000 Candles in the Wind",2,8,Gulf of Mexico,Y
Bébé Yoda,2,8,Texas,
Blue Taran-dactyls,2,8,Cape Canaveral,
Days of Auld Lang-xiety,2,8,Kennedy Space Center in Florida,
Diminishing Returns,2,8,Cape Canaveral,
Losing 21 in 2021,2,8,cape canaveral,
Mile High Owls,2,8,Cape Canaveral,
Netflix & Quill,2,8,"Houston, TX",
Quaranteam 2020,2,8,Cape Canavaral,
Weens <();:::::::::::::::;~,2,8,Gulf of Mexico ,Y
Zack and Hyejin,2,8,On a barge,
"5,000 Candles in the Wind",2,9,Sweetum’s,
Bébé Yoda,2,9,Arroz de benjamin,
Blue Taran-dactyls,2,9,Country rice,
Days of Auld Lang-xiety,2,9,My Cousin Vinny’s,
Diminishing Returns,2,9,Uncle Benjamin,
Losing 21 in 2021,2,9,ben's rice (NOT IT),
Mile High Owls,2,9,,
Netflix & Quill,2,9,Southern Comfort,
Quaranteam 2020,2,9,Home style Rice,
Weens <();:::::::::::::::;~,2,9,Rice,
Zack and Hyejin,2,9,Dwight schrutes beet rice,
"5,000 Candles in the Wind",2,10,Splash Mountain,Y
Bébé Yoda,2,10,Brair rabbit,
Blue Taran-dactyls,2,10,Splash Mountain ,Y
Days of Auld Lang-xiety,2,10,Splash Mountain,Y
Diminishing Returns,2,10,Thunder Mountain,
Losing 21 in 2021,2,10,space mountain,Y
Mile High Owls,2,10,Uncle Toms Log Cabin,
Netflix & Quill,2,10,Splash Mountain,Y
Quaranteam 2020,2,10,Splash Mountain,Y
Weens <();:::::::::::::::;~,2,10,Magic mountain literally have no idea,
Zack and Hyejin,2,10,Splash mountain ,Y
"5,000 Candles in the Wind",3,1,US new COVID cases,Y
Bébé Yoda,3,1,Us covid 7 day average positive test rate ,Y
Blue Taran-dactyls,3,1,New COVID cases in California ,
Days of Auld Lang-xiety,3,1,New positive Covid cases in the United States,Y
Diminishing Returns,3,1,New Covid cases in US,Y
Losing 21 in 2021,3,1,covid cases per day for the united states,Y
Mile High Owls,3,1,Daily New Cases of COVID-19 in the greatest nation in the world,Y
Netflix & Quill,3,1,Daily positive coronavirus tests for USA,Y
Quaranteam 2020,3,1,US Covid Cases,Y
Weens <();:::::::::::::::;~,3,1,COVID cases USA total ,Y
Zack and Hyejin,3,1,Daily cases in United States ,Y
"5,000 Candles in the Wind",3,2,Zoom stock price ,
Bébé Yoda,3,2,Tesla stock price,Y
Blue Taran-dactyls,3,2,Tesla stock ,Y
Days of Auld Lang-xiety,3,2,Amazon stock price,
Diminishing Returns,3,2,S&P 500,
Losing 21 in 2021,3,2,zoom stock price (nyse:zm),
Mile High Owls,3,2,Facebook Stock Price,
Netflix & Quill,3,2,Amazon stock per share,
Quaranteam 2020,3,2,Tesla stock price,Y
Weens <();:::::::::::::::;~,3,2,Bitcoin ,
Zack and Hyejin,3,2,Tesla stock,Y
"5,000 Candles in the Wind",3,3,Back order time for toilet paper,
Bébé Yoda,3,3,Return rate,
Blue Taran-dactyls,3,3,Average shipping time ,Y
Days of Auld Lang-xiety,3,3,Vacation days,
Diminishing Returns,3,3,Average Shipping time,Y
Losing 21 in 2021,3,3,shipping delay,Y
Mile High Owls,3,3,Shipping Time,Y
Netflix & Quill,3,3,Waiting time between delivery date,Y
Quaranteam 2020,3,3,Average shipping times,Y
Weens <();:::::::::::::::;~,3,3,Home office equipment sales (desks etc) ,
Zack and Hyejin,3,3,Avg delivery time in days,Y
"5,000 Candles in the Wind",3,4,What time do polls close EST,Y
Bébé Yoda,3,4,Restaurant closing times,
Blue Taran-dactyls,3,4,Poll closure time based on EST,Y
Days of Auld Lang-xiety,3,4,Curfews,
Diminishing Returns,3,4,Times polls closed,Y
Losing 21 in 2021,3,4,polling location close times,Y
Mile High Owls,3,4,Times the polls close,Y
Netflix & Quill,3,4,What time bars close,
Quaranteam 2020,3,4,Poll closing times (EST),Y
Weens <();:::::::::::::::;~,3,4,When polls closed in each state,Y
Zack and Hyejin,3,4,Curfew time,
"5,000 Candles in the Wind",3,5,Highest germ concentration,
Bébé Yoda,3,5,How much cleaning hands without soap is bad,
Blue Taran-dactyls,3,5,Germ density ,
Days of Auld Lang-xiety,3,5,Red is the germiest. White is the least germy,
Diminishing Returns,3,5,Amount of germs,
Losing 21 in 2021,3,5,unwashed areas,Y
Mile High Owls,3,5,Germiest Part of hands,
Netflix & Quill,3,5,Germs when you shake hands,
Quaranteam 2020,3,5,Germs ,
Weens <();:::::::::::::::;~,3,5,Reflexology points,
Zack and Hyejin,3,5,Colors show how much bacteria is left on hands for Avg hand washer,Y
"5,000 Candles in the Wind",3,6,US election projections,Y
Bébé Yoda,3,6,Trump or biden presidency likelihood,Y
Blue Taran-dactyls,3,6,Likelihood of state going red or blue based on counts/polls,Y
Days of Auld Lang-xiety,3,6,"Probability of who is going to win that race. Red is Trump, Blue is Biden.",Y
Diminishing Returns,3,6,Probability of winning election,Y
Losing 21 in 2021,3,6,biden's chance of winning the election,Y
Mile High Owls,3,6,Likelihood of Trump winning Florida,Y
Netflix & Quill,3,6,Projected winner in presidential race,Y
Quaranteam 2020,3,6,Election outcome probability,Y
Weens <();:::::::::::::::;~,3,6,Trump vs Biden election probability this chart shows trump favored ,Y
Zack and Hyejin,3,6,Election outcome prediction,Y
"5,000 Candles in the Wind",3,7,Electoral votes,Y
Bébé Yoda,3,7,Percentage of population that votes Democrat or republican,Y
Blue Taran-dactyls,3,7,Blue wave ,Y
